kiosk_id,screen_key,title,subtitle,body
W001,home,북인사마당,전통과 현대가 어우러진 인사동,버튼을 눌러 안내를 시작하세요.
W001,intro,소개,,북인사마당은 인사동의 대표 문화 공간입니다.
W001,guide,관광안내,,인사동 골목과 주요 관광지를 안내합니다.
W001,events,이벤트,,진행 중인 행사와 공연 일정입니다.
W001,facilities,편의시설,,화장실·엘리베이터·주차 안내입니다.
W002,home,인사동센터,인사동 관광 안내 센터,버튼을 눌러 안내를 시작하세요.
W002,intro,소개,,인사동센터는 관광 정보를 제공합니다.
W002,guide,관광안내,,인사동 관광 코스를 안내합니다.
W002,events,이벤트,,센터에서 진행하는 프로그램입니다.
W002,facilities,편의시설,,센터 내 편의시설 안내입니다.
W003,home,남인사마당,남인사동 문화 거리,버튼을 눌러 안내를 시작하세요.
W003,intro,소개,,남인사마당은 남인사동의 문화 허브입니다.
W003,food,맛집,,주변 맛집과 카페를 소개합니다.
W003,shopping,쇼핑,,전통 공예와 기념품 안내입니다.
W003,culture,문화체험,,체험 프로그램과 워크숍 안내입니다.
